date_id,room_id,time_id,project_id,teacher_group,teacher_id
1412201701,1,1,261,1,4/7/17/22
1412201701,1,2,223,1,4/7/17/22
1412201701,1,3,219,1,4/7/17/22
1412201701,1,4,233,1,4/7/17/22
1412201702,2,1,231,2,12/25/26/32
1412201702,2,2,230,2,12/25/26/32
1412201702,2,3,224,2,12/25/26/32
1412201705,5,1,241,3,13/16/20/30
1412201705,5,2,266,3,13/16/20/30
1412201705,5,3,239,3,13/16/20/30
1412201705,5,4,249,3,13/16/20/30
1412201705,5,5,270,3,13/16/20/30
1412201704,4,1,227,4,5/19/21/23
1412201704,4,2,247,4,5/19/21/23
1412201704,4,3,238,4,5/19/21/23
1412201704,4,4,229,4,5/19/21/23
1412201703,3,1,269,5,3/9/10/28
1412201703,3,2,236,5,3/9/10/28
1412201703,3,3,268,5,3/9/10/28
1412201703,3,4,259,5,3/9/10/28
1412201703,3,5,272,5,3/9/10/28
1412201711,1,6,228,6,5/16/19/20
1412201711,1,7,232,6,5/16/19/20
1412201711,1,8,226,6,5/16/19/20
1412201712,2,6,221,7,6/7/9/10
1412201712,2,7,222,7,6/7/9/10
1412201712,2,8,220,7,6/7/9/10
1412201712,2,9,248,7,6/7/9/10
1412201715,5,6,244,8,3/8/15/24
1412201715,5,7,264,8,3/8/15/24
1412201715,5,8,246,8,3/8/15/24
1412201715,5,9,240,8,3/8/15/24
1512201701,1,1,251,9,11/12/14/26
1512201701,1,2,243,9,11/12/14/26
1512201701,1,3,255,9,11/12/14/26
1512201701,1,4,257,9,11/12/14/26
1512201701,1,5,262,9,11/12/14/26
1512201702,2,1,271,10,25/29/31/32
1512201702,2,2,256,10,25/29/31/32
1512201702,2,3,250,10,25/29/31/32
1512201702,2,4,254,10,25/29/31/32
1512201715,5,6,245,11,6/13/18/31
1512201715,5,7,225,11,6/13/18/31
1512201715,5,8,235,11,6/13/18/31
1512201715,5,9,267,11,6/13/18/31
1512201711,1,6,258,12,3/11/14/30
1512201711,1,7,265,12,3/11/14/30
1512201711,1,8,260,12,3/11/14/30
1512201711,1,9,263,12,3/11/14/30
1512201711,1,10,252,12,3/11/14/30
1512201712,2,6,253,13,2/4/8/29
1512201712,2,7,234,13,2/4/8/29
1512201712,2,8,237,13,2/4/8/29
1512201712,2,9,242,13,2/4/8/29
